分区,子分组,鹰角中文,鹰角英文,鹰角其他语言,Yostar日文,Yostar英文,空缺说明,来源
角色／干员代号,,古米,Гум,,グム,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,深海色,Deepcolor,,ディピカ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,地灵,Earthspirit,,アーススピリット,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,阿消,Shaw,,ショウ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,白面鸮,Ptilopsis,,フィリオプシス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,凛冬,Зима,,ズィマー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,德克萨斯,Texas,,テキサス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,芙兰卡,Franka,,フランカ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,因陀罗,Indra,,インドラ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,拉普兰德,Lappland,,ラップランド,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,幽灵鲨,Specter,,スペクター,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,蓝毒,Blue Poison,,アズリウス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,白金,Platinum,,プラチナ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,陨星,Meteorite,,メテオリーテ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,阿米娅,Amiya,,アーミヤ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,天火,Skyfire,,スカイフレア,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,梅尔,Mayer,,メイヤー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,赫默,Silence,,サイレンス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,华法琳,Warfarin,,ワルファリン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,临光,Nearl,,ニアール,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,红,Projekt Red,,レッド,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,雷蛇,Liskarm,,リスカム,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,可颂,Croissant,,クロワッサン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,火神,Vulcan,,ヴァルカン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,普罗旺斯,Provence,,プロヴァンス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,守林人,Firewatch,,ファイヤーウォッチ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,崖心,Cliffheart,,クリフハート,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,初雪,Pramanix,,プラマニクス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,真理,Истина,,イースチナ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,空,Sora,,ソラ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,狮蝎,Manticore,,マンティコア,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,食铁兽,FEater,,エフイーター,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,能天使,Exusiai,,エクシア,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,推进之王,Siege,,シージ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,伊芙利特,Ifrit,,イフリータ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,艾雅法拉,Eyjafjalla,,エイヤフィヤトラ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,安洁莉娜,Angelina,,アンジェリーナ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,闪灵,Shining,,シャイニング,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,夜莺,Nightingale,,ナイチンゲール,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,星熊,Hoshiguma,,ホシグマ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,塞雷娅,Saria,,サリア,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,银灰,SilverAsh,,シルバーアッシュ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,暴行,Savage,,サベージ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,空爆,Catapult,,カタパルト,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,月见夜,Midnight,,ミッドナイト,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,猎蜂,Beehunter,,ビーハンター,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,夜魔,Nightmare,,ナイトメア,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,格拉尼,Grani,,グラニ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,斯卡蒂,Skadi,,スカジ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,泡普卡,Popukar,,ポプカル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,斑点,Spot,,スポット,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,格雷伊,Greyy,,グレイ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,诗怀雅,Swire,,スワイヤー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,陈,Ch'en,,チェン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,苏苏洛,Sussurro,,ススーロ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,锡兰,Ceylon,,セイロン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,格劳克斯,Glaucus,,グラウコス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,黑,Schwarz,,シュヴァルツ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,桃金娘,Myrtle,,テンニンカ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,星极,Astesia,,アステシア,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,赫拉格,Hellagur,,ヘラグ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,坚雷,Dur-nar,,ジュナー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,红云,Vermeil,,ヴァーミル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,炎客,Flamebringer,,エンカク,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,送葬人,Executor,,イグゼキュター,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,麦哲伦,Magallan,,マゼラン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,伊桑,Ethan,,イーサン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,微风,Breeze,,ブリーズ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,梅,May,,メイ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,拜松,Bison,,バイソン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,槐琥,Waai Fu,,ワイフー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,莫斯提马,Mostima,,モスティマ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,苇草,Reed,,リード,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,布洛卡,Broca,,ブローカ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,安比尔,Ambriel,,アンブリエル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,灰喉,GreyThroat,,グレースロート,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,煌,Blaze,,ブレイズ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,雪雉,Snowsant,,スノーズント,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,吽,Hung,,ウン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,阿,Aak,,ア,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,年,Nian,,ニェン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,惊蛰,Leizi,,レイズ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,刻俄柏,Ceobe,,ケオベ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,清流,Purestream,,セイリュウ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,宴,Utage,,ウタゲ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,柏喙,Bibeak,,バイビーク,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,慑砂,Sesa,,シェーシャ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,风笛,Bagpipe,,バグパイプ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,断罪者,Conviction,,コンビクション,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,刻刀,Cutter,,カッター,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,铸铁,Sideroca,,シデロカ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,巫恋,Shamare,,シャマレ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,傀影,Phantom,,ファントム,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,极境,Elysium,,エリジウム,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,温蒂,Weedy,,ウィーディ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,W,W,,W,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,石棉,Asbestos,,アスベストス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,月禾,Tsukinogi,,ツキノギ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,波登可,Podenco,,ポデンコ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,苦艾,Absinthe,,アブサント,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,莱恩哈特,Leonhardt,,レオンハルト,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,早露,Роса,,ロサ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,卡达,Click,,カシャ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,亚叶,Folinic,,フォリニック,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,断崖,Ayerscarpe,,エアースカーペ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,铃兰,Suzuran,,スズラン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,稀音,Scene,,シーン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,蜜蜡,Beeswax,,ビーズワクス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,贾维,Chiave,,キアーベ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,孑,Jaye,,ジェイ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,安哲拉,Andreana,,アンドレアナ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,棘刺,Thorns,,ソーンズ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,酸糖,Aciddrop,,アシッドドロップ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,特米米,Tomimi,,トミミ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,燧石,Flint,,フリント,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,森蚺,Eunectes,,ユーネクテス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,芳汀,Arene,,アレーン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,薄绿,Mint,,ミント,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,四月,April,,エイプリル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,史尔特尔,Surtr,,スルト,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,泡泡,Bubble,,バブル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,鞭刃,Whislash,,ウィスラッシュ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,奥斯塔,Aosta,,アオスタ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,瑕光,Blemishine,,ブレミシャイン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,杰克,Jackie,,ジャッキー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,絮雨,Whisperain,,ウィスパーレイン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,泥岩,Mudrock,,マドロック,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,迷迭香,Rosmontis,,ロスモンティス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,松果,Pinecone,,パインコーン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,罗宾,Robin,,ロビン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,卡夫卡,Kafka,,カフカ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,山,Mountain,,マウンテン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,豆苗,Beanstalk,,ビーンストーク,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,爱丽丝,Iris,,アイリス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,空弦,Archetto,,アルケット,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,图耶,Tuye,,トゥイエ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,炎狱炎熔,Lava the Purgatory,,炎獄ラヴァ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,乌有,Mr.Nothing,,ウユウ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,嵯峨,Saga,,サガ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,夕,Dusk,,シー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,战车,Tachanka,,Tachanka,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,闪击,Blitz,,Blitz,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,霜华,Frost,,Frost,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,灰烬,Ash,,Ash,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,暴雨,Heavyrain,,ヘビーレイン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,熔泉,Toddifons,,トギフォンス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,异客,Passenger,,パッセンジャー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,赤冬,Akafuyu,,アカフユ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,歌蕾蒂娅,Gladiia,,グレイディーア,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,凯尔希,Kal'tsit,,ケルシー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,浊心斯卡蒂,Skadi the Corrupting Heart,,濁心スカジ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,深靛,Indigo,,インディゴ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,贝娜,Bena,,ベナ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,绮良,Kirara,,キララ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,卡涅利安,Carnelian,,カーネリアン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,帕拉斯,Pallas,,パラス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,龙舌兰,Tequila,,テキーラ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,羽毛笔,La Pluma,,ラ・プルマ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,水月,Mizuki,,ミヅキ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,假日威龙陈,Ch'en the Holungday,,遊龍チェン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,罗比菈塔,Roberta,,ロベルタ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,桑葚,Mulberry,,マルベリー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,琴柳,Saileach,,サイラッハ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,灰毫,Ashlock,,アッシュロック,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,远牙,Fartooth,,ファートゥース,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,布丁,Pudding,,プリン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,蜜莓,Honeyberry,,ハニーベリー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,野鬃,Wild Mane,,ワイルドメイン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,蚀清,Corroserum,,コロセラム,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,焰尾,Flametail,,フレイムテイル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,耀骑士临光,Nearl the Radiant Knight,,耀騎士ニアール,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,耶拉,Kjera,,イェラ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,极光,Aurora,,オーロラ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,灵知,Gnosis,,ノーシス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,暮落,Shalem,,シャレム,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,九色鹿,Nine-Colored Deer,,九色鹿,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,寒芒克洛丝,Kroos the Keen Glint,,寒芒クルース,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,夜半,Blacknight,,ブラックナイト,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,老鲤,Lee,,リー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,令,Ling,,リィン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,夏栎,Quercus,,クエルクス,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,澄闪,Goldenglow,,ゴールデングロー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,见行者,Enforcer,,エンフォーサー,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,风丸,Kazemaru,,カゼマル,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,菲亚梅塔,Fiammetta,,フィアメッタ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,褐果,Chestnut,,チェストナット,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,海蒂,Heidi,,ハイディ,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,洛洛,Rockrock,,ロックロック,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,号角,Horn,,ホルン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,掠风,Windflit,,ウインドフリット,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
角色／干员代号,,流明,Lumen,,ルーメン,,鹰角其他语言待补或未出现；悠星英文待补或未出现,https://prts.wiki/w/泰拉词库
