书写/显示语言,目标语言槽位,词形,逐格依据,原填充色
Kjeragisk · 谢拉格语,玻利瓦尔语,flerspråklig: bolivariansk iberisk / viktoriansk / leithaniensk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,哥伦比亚语,columbiansk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,杜林语,durinsk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,高卢语,gaulsk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,东国语,higashisk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,伊比利亚语（西语型）,iberisk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,伊比利亚语（葡语型）,iberisk · 葡语型,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,卡兹戴尔语,kazdelsk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,卡西米尔语,kazimierzisk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,谢拉格语,kjeragisk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,拉特兰语,lateransk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,莱塔尼亚语,leithaniensk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,龙门话,lungmensk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,米诺斯语,minoisk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,梦魇语,nightzmoransk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,雷姆必拓区域语体,fellesspråk i Rim Billiton,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,萨米诸语言,samiske språk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,萨尔贡诸语言,sargonske dialekter,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,汐斯塔克里奥尔语,siestansk kreol + andre språk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,叙拉古语,siracusansk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,塔拉语,Tengae / taransk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,乌萨斯语,ursisk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,维多利亚语,viktoriansk,语言学推拟·中,FFE9DDF6
Kjeragisk · 谢拉格语,炎语,yanesisk,语言学推拟·中,FFE9DDF6
Lateranensis · 拉特兰语,阿戈尔语,Aegiriana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,玻利瓦尔语,multae linguae,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,哥伦比亚语,Columbiana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,杜林语,Duriniana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,高卢语,Gallica,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,东国语,Higashiana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,伊比利亚语（西语型）,Iberica,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,伊比利亚语（葡语型）,Iberica · 葡语型,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,卡兹戴尔语,Kazdeliana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,卡西米尔语,Kazimierziana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,谢拉格语,Kjeragiana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,拉特兰语,Laterana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,莱塔尼亚语,Leithaniana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,龙门话,Lungmeniana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,米诺斯语,Minoa,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,梦魇语,Nightzmorana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,雷姆必拓区域语体,communis Rim Billiton,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,萨米诸语言,linguae Samicae,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,萨尔贡诸语言,dialecti Sargoniani,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,汐斯塔克里奥尔语,Creola Siestana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,叙拉古语,Siracusana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,塔拉语,Tengae / Tarana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,乌萨斯语,Ursina,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,维多利亚语,Victoriana,语言学推拟·低,FFF5CBCB
Lateranensis · 拉特兰语,炎语,Yanensis,语言学推拟·低,FFF5CBCB
Leithanisch · 莱塔尼亚语,阿戈尔语,Ägirisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,玻利瓦尔语,mehrsprachig: bolivarianisches Iberisch / Viktorianisch / Leithanisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,哥伦比亚语,Columbianisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,杜林语,Durinisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,高卢语,Gallisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,东国语,Higashisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,伊比利亚语（西语型）,Iberisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,伊比利亚语（葡语型）,Iberisch · 葡语型,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,卡兹戴尔语,Kazdelisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,卡西米尔语,Kazimierzisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,谢拉格语,Kjeragisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,拉特兰语,Lateranisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,莱塔尼亚语,Leithanisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,龙门话,Lungmenisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,米诺斯语,Minoisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,梦魇语,Nightzmoranisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,雷姆必拓区域语体,Rim-Billiton-Gemeinsprache,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,萨米诸语言,samische Sprachen,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,萨尔贡诸语言,sargonische Dialekte,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,汐斯塔克里奥尔语,Siesta-Kreolisch + weitere Sprachen,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,叙拉古语,Siracusanisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,塔拉语,Tengae / Taranisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,乌萨斯语,Ursisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,维多利亚语,Viktorianisch,语言学推拟·中,FFE9DDF6
Leithanisch · 莱塔尼亚语,炎语,Yanisch,语言学推拟·中,FFE9DDF6
龍門話 · 龙门话,阿戈尔语,阿戈爾語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,玻利瓦尔语,玻利瓦爾語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,哥伦比亚语,哥倫比亞語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,杜林语,杜林語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,高卢语,高盧語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,东国语,東語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,伊比利亚语（西语型）,伊比利亞語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,伊比利亚语（葡语型）,伊比利亞語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,卡兹戴尔语,卡茲戴爾語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,卡西米尔语,卡西米爾語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,谢拉格语,謝拉格語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,拉特兰语,拉特蘭語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,莱塔尼亚语,萊塔尼亞語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,龙门话,龍門話,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,米诺斯语,米諾斯語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,梦魇语,夢魘語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,雷姆必拓区域语体,雷姆必拓語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,萨米诸语言,薩米語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,萨尔贡诸语言,薩爾貢語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,汐斯塔克里奥尔语,汐斯塔語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,叙拉古语,敘拉古語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,塔拉语,塔拉語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,乌萨斯语,烏薩斯語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,维多利亚语,維多利亞語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
龍門話 · 龙门话,炎语,炎語,编辑构词：地名＋語/話；待粤语审校,FFF9E0C7
Μινωικά · 米诺斯语,阿戈尔语,Αιγιρικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,玻利瓦尔语,Μπολιβαριανά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,哥伦比亚语,Κολουμπιανά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,杜林语,Ντουρινικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,高卢语,Γαλατικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,东国语,Χιγκασικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,伊比利亚语（西语型）,Ιβηρικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,伊比利亚语（葡语型）,Ιβηρικά δυτικού τύπου,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,卡兹戴尔语,Καζντελικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,卡西米尔语,Καζιμιερζικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,谢拉格语,Κιεραγκικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,拉特兰语,Λατερανικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,莱塔尼亚语,Λαϊτανικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,龙门话,Λουνγκμενικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,米诺斯语,Μινωικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,梦魇语,Ναϊτζμορανικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,雷姆必拓区域语体,κοινή γλώσσα του Ριμ Μπίλιτον,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,萨米诸语言,σαμικές γλώσσες,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,萨尔贡诸语言,σαργονικές γλώσσες,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,汐斯塔克里奥尔语,κρεολικά της Σιέστα,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,叙拉古语,Σιρακουζάνικα,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,塔拉语,Tengae / Ταρανικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,乌萨斯语,Ουρσικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,维多利亚语,Βικτωριανά,语言学推拟：希腊语语言名构词,FFE9DDF6
Μινωικά · 米诺斯语,炎语,Γιανικά,语言学推拟：希腊语语言名构词,FFE9DDF6
Найтзморан хэл · 梦魇语,阿戈尔语,Эгир хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,玻利瓦尔语,Боливар хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,哥伦比亚语,Колумби хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,杜林语,Дурин хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,高卢语,Галл хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,东国语,Хигаши хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,伊比利亚语（西语型）,Ибери хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,伊比利亚语（葡语型）,Ибери хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,卡兹戴尔语,Каздел хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,卡西米尔语,Казимеж хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,谢拉格语,Кьераг хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,拉特兰语,Латерано хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,莱塔尼亚语,Лейтаньен хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,龙门话,Лүнмэнь хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,米诺斯语,Минос хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,梦魇语,Найтзморан хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,雷姆必拓区域语体,Рим Биллитон хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,萨米诸语言,Сами хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,萨尔贡诸语言,Саргон хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,汐斯塔克里奥尔语,Сиеста хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,叙拉古语,Сиракуза хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,塔拉语,Тара хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,乌萨斯语,Урсус хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,维多利亚语,Виктория хэл,待人工审核：蒙古语型构词,FFF5CBCB
Найтзморан хэл · 梦魇语,炎语,Янь хэл,待人工审核：蒙古语型构词,FFF5CBCB
Victorian (Rim Billiton) · 雷姆必拓区域语体,阿戈尔语,Aegirian,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,玻利瓦尔语,Bolivarian,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,哥伦比亚语,Columbian,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,杜林语,Durish,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,高卢语,Gaulish,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,东国语,Higashinese,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,伊比利亚语（西语型）,Iberian (Spanish-like),国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,伊比利亚语（葡语型）,Iberian (Portuguese-like),国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,卡兹戴尔语,Kazdelian,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,卡西米尔语,Kazimierzian,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,谢拉格语,Kjeragi,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,拉特兰语,Lateran,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,莱塔尼亚语,Leithanian,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,龙门话,Lungmenite,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,米诺斯语,Minoan,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,梦魇语,Nightzmoran,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,雷姆必拓区域语体,Rim Billiton common language,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,萨米诸语言,Sami languages,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,萨尔贡诸语言,Sargonian languages,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,汐斯塔克里奥尔语,Siestan Creole,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,叙拉古语,Siracusan,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,塔拉语,Taran,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,乌萨斯语,Ursine,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,维多利亚语,Victorian,国际服词形/说明性限定,FFDDEEDC
Victorian (Rim Billiton) · 雷姆必拓区域语体,炎语,Yanese,国际服词形/说明性限定,FFDDEEDC
Sámegiella · 萨米诸语言,阿戈尔语,Ægir giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,玻利瓦尔语,Bolívar giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,哥伦比亚语,Columbia giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,杜林语,Durin giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,高卢语,Gaul giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,东国语,Higashi giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,伊比利亚语（西语型）,Iberia giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,伊比利亚语（葡语型）,Iberia giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,卡兹戴尔语,Kazdel giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,卡西米尔语,Kazimierz giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,谢拉格语,Kjerag giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,拉特兰语,Laterano giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,莱塔尼亚语,Leithanien giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,龙门话,Lungmen giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,米诺斯语,Minos giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,梦魇语,Nightzmora giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,雷姆必拓区域语体,Rim Billiton giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,萨米诸语言,Sámegiella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,萨尔贡诸语言,Sargon giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,汐斯塔克里奥尔语,Siesta giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,叙拉古语,Siracusa giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,塔拉语,Tara giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,乌萨斯语,Ursus giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,维多利亚语,Victoria giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
Sámegiella · 萨米诸语言,炎语,Yan giella,待人工审核：北萨米代理，不代表萨米全域,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,阿戈尔语,لغة إيغير,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,玻利瓦尔语,لغة بوليفار,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,哥伦比亚语,لغة كولومبيا,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,杜林语,لغة دورين,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,高卢语,لغة غال,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,东国语,لغة هيغاشي,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,伊比利亚语（西语型）,لغة إيبيريا,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,伊比利亚语（葡语型）,لغة إيبيريا,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,卡兹戴尔语,لغة كازدل,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,卡西米尔语,لغة كازيميرز,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,谢拉格语,لغة كيراغ,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,拉特兰语,لغة لاتيرانو,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,莱塔尼亚语,لغة ليثانيان,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,龙门话,لغة لونغمِن,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,米诺斯语,لغة مينوس,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,梦魇语,لغة نايتزمورا,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,雷姆必拓区域语体,لغة ريم بيليتون,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,萨米诸语言,لغة سامي,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,萨尔贡诸语言,لغات سارغون,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,汐斯塔克里奥尔语,لغة سيستا,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,叙拉古语,لغة سيراكوزا,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,塔拉语,لغة تارا,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,乌萨斯语,لغة أورسوس,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,维多利亚语,لغة فيكتوريا,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
لغات سارغون · 萨尔贡诸语言,炎语,لغة يان,待人工审核：阿拉伯语型次区域候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,阿戈尔语,Lang Ejir,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,玻利瓦尔语,Lang Bolivar,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,哥伦比亚语,Lang Kolonbi,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,杜林语,Lang Duren,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,高卢语,Lang Gol,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,东国语,Lang Igashi,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,伊比利亚语（西语型）,Lang Iberi,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,伊比利亚语（葡语型）,Lang Iberi,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,卡兹戴尔语,Lang Kazdel,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,卡西米尔语,Lang Kazimierz,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,谢拉格语,Lang Kjerag,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,拉特兰语,Lang Laterano,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,莱塔尼亚语,Lang Leithanien,待人工审核：克里奥尔代理候选,FFF5CBCB
Kreyòl Siesta · 汐斯塔克里奥尔语,龙门话,Lang Lungmen,待人工审核：克里奥尔代理候选,FFF5CBCB
