来源编号,URL,渠道,服务范围,证据级别,抓取或复核日期
source-179,https://prts.wiki/w/傀影与猩红孤钻/活页剧目,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-180,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-181,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-182,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-183,https://prts.wiki/w/八幡海铃,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-184,https://prts.wiki/w/剧情角色一览,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-185,https://prts.wiki/w/卡达,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-186,https://prts.wiki/w/叙拉古人/地图,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-187,https://prts.wiki/w/埃拉托,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-188,https://prts.wiki/w/塑心,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-189,https://prts.wiki/w/守林人,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-190,https://prts.wiki/w/小满,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-191,https://prts.wiki/w/岁的界园志异,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-192,https://prts.wiki/w/年,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-193,https://prts.wiki/w/序言组曲：猩红血钻,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-194,https://prts.wiki/w/慕斯,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-195,https://prts.wiki/w/斯卡蒂,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-196,https://prts.wiki/w/晓歌,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-197,https://prts.wiki/w/暮落,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-198,https://prts.wiki/w/月禾,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-199,https://prts.wiki/w/杜宾,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-200,https://prts.wiki/w/梓兰,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-201,https://prts.wiki/w/歌蕾蒂娅,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-202,https://prts.wiki/w/止颂,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-203,https://prts.wiki/w/泰拉大典:地理/东,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-204,https://prts.wiki/w/泰拉大典:地理/乌萨斯,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-205,https://prts.wiki/w/泰拉大典:地理/伊比利亚,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-206,https://prts.wiki/w/泰拉大典:地理/卡西米尔,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-207,https://prts.wiki/w/泰拉大典:地理/叙拉古,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-208,https://prts.wiki/w/泰拉大典:地理/哥伦比亚,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-209,https://prts.wiki/w/泰拉大典:地理/拉特兰,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-210,https://prts.wiki/w/泰拉大典:地理/炎,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-211,https://prts.wiki/w/泰拉大典:地理/玻利瓦尔,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-212,https://prts.wiki/w/泰拉大典:地理/维多利亚,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-213,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-214,https://prts.wiki/w/泰拉大典:地理/萨尔贡,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-215,https://prts.wiki/w/泰拉大典:地理/谢拉格,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-216,https://prts.wiki/w/泰拉年表,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-217,https://prts.wiki/w/泰拉词库,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-218,https://prts.wiki/w/海蒂,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-219,https://prts.wiki/w/烈夏,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-220,https://prts.wiki/w/爱丽丝,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-221,https://prts.wiki/w/白金,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-222,https://prts.wiki/w/祐天寺若麦,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-223,https://prts.wiki/w/稀音,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-224,https://prts.wiki/w/空,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-225,https://prts.wiki/w/空弦,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-226,https://prts.wiki/w/紫野遥,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-227,https://prts.wiki/w/红丝绒,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-228,https://prts.wiki/w/红豆,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-229,https://prts.wiki/w/纯烬艾雅法拉,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-230,https://prts.wiki/w/绮良,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-231,https://prts.wiki/w/罗比菈塔,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-232,https://prts.wiki/w/艾丽妮,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-233,https://prts.wiki/w/若叶睦,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-234,https://prts.wiki/w/蓝毒,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-235,https://prts.wiki/w/讯使,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-236,https://prts.wiki/w/词汇一览,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-237,https://prts.wiki/w/诗怀雅,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-238,https://prts.wiki/w/路德维格大学讲演厅,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-239,https://prts.wiki/w/车尔尼,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-240,https://prts.wiki/w/逻各斯,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-241,https://prts.wiki/w/酒神,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-242,https://prts.wiki/w/阿米娅,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-243,https://prts.wiki/w/雅赛努斯复仇记/活动公告,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-244,https://prts.wiki/w/雷蛇,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-245,https://prts.wiki/w/霜叶,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-246,https://prts.wiki/w/风笛,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-247,https://prts.wiki/w/食铁兽,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-248,https://prts.wiki/w/黑键,PRTS,简中服与鹰角公开资料转录,Wiki转录；按字段回溯客户端或官方来源,2026-08-15
source-249,https://www.mediawiki.org/wiki/Manual:Adding_and_removing_languages,其他,辅助材料,逐项审查,2026-08-15
